date,calories,weight_lb,protein_g,carbs_g,fat_g,water_l,sodium_mg,steps,calories_burned,lift_day
2025-11-09,2369,187.4,164,203,102,2.52,2572,4413,2477,0
2025-11-10,2899,187.4,180,318,94,3.29,3055,7943,2770,1
2025-11-11,2668,187.8,182,289,74,2.23,3319,9331,2961,1
2025-11-12,3134,188.1,174,463,59,2.68,2881,4618,2315,0
2025-11-13,2626,187.9,171,247,96,3.27,3774,6755,2726,1
2025-11-14,2574,187.4,188,312,79,2.48,2372,7314,2721,1
2025-11-15,2707,187.3,152,329,95,3.0,3245,4936,2432,0
2025-11-16,2766,187.7,152,403,61,2.72,3358,3964,2656,0
2025-11-17,2771,187.4,196,362,73,2.85,2614,7198,2550,1
2025-11-18,2927,187.8,192,361,80,3.22,3219,6163,2810,1
2025-11-19,3027,187.8,167,391,81,3.39,2783,5733,2264,0
2025-11-20,2721,187.5,200,343,75,3.06,2832,6273,2676,1
2025-11-21,2690,187.4,180,306,87,3.09,3023,8496,2963,1
2025-11-22,2551,187.0,165,301,67,2.44,2452,4602,2415,0
2025-11-23,2840,187.5,150,380,78,2.3,3517,5029,2297,0
2025-11-24,2825,187.8,185,321,81,3.29,3634,7869,2718,1
2025-11-25,2581,187.7,178,246,86,2.7,3692,6052,2804,1
2025-11-26,3168,187.9,156,455,89,2.63,3216,5594,2364,0
2025-11-27,2950,187.6,189,437,67,2.83,3005,8401,2854,1
2025-11-28,2682,187.5,168,336,62,3.17,3135,5818,2717,1
2025-11-29,2776,187.5,186,304,95,2.72,3015,5676,2377,0
2025-11-30,2840,187.3,140,368,84,2.96,2467,5794,2718,0
2025-12-01,2971,187.3,162,411,71,2.82,3629,8119,2891,1
2025-12-02,2799,187.3,197,269,99,2.91,3181,6361,2493,1
2025-12-03,3031,187.2,167,390,81,2.26,2781,4549,2427,0
2025-12-04,3095,187.5,189,374,94,2.84,3598,8075,2734,1
2025-12-05,3028,187.9,189,369,81,3.13,3501,7943,2910,1
2025-12-06,2527,187.5,155,247,105,2.86,2671,6175,2383,0
2025-12-07,2578,187.0,142,275,101,2.28,3225,6338,2471,0
2025-12-08,2539,187.0,181,276,77,3.3,2892,7293,2839,1
2025-12-09,2735,187.3,170,290,92,3.47,3497,8195,2923,1
2025-12-10,3279,187.6,170,441,88,2.74,3160,6532,2350,0
2025-12-11,3308,187.9,178,447,96,3.66,3299,7509,2748,1
2025-12-12,2780,188.0,168,384,68,2.73,3471,9916,2839,1
2025-12-13,2845,187.6,150,343,88,2.16,2437,6948,2434,0
2025-12-14,2706,187.3,161,309,93,1.98,3170,5534,2661,0
2025-12-15,2658,187.3,172,375,59,3.52,3286,9081,2907,1
2025-12-16,3092,187.5,168,424,66,3.23,3206,7696,2645,1
2025-12-17,3438,188.0,159,500,56,2.58,3367,7563,2650,0
2025-12-18,2987,188.0,184,377,77,3.1,3105,9777,3145,1
2025-12-19,3123,187.6,172,420,89,2.61,2893,8074,2937,1
2025-12-20,2041,186.8,148,127,98,3.46,2156,7955,2376,0
2025-12-21,2815,187.0,158,327,81,2.65,3074,7532,2481,0
2025-12-22,2836,187.5,158,294,100,3.04,2837,9769,3042,1
2025-12-23,2959,187.8,159,439,63,3.25,4016,10802,2851,1
2025-12-24,3119,187.9,144,500,60,2.77,2271,7135,2574,0
2025-12-25,2543,187.6,177,262,79,3.08,3854,8535,2927,1
2025-12-26,2714,187.8,185,316,85,2.72,3377,8465,2720,1
2025-12-27,2690,187.4,177,283,80,2.77,2793,6779,2498,0
2025-12-28,2969,187.2,168,449,55,3.26,2768,7487,2148,0
2025-12-29,2721,187.5,178,301,79,3.47,3430,9701,2764,1
2025-12-30,2859,187.5,180,377,64,3.56,3339,9675,2855,1
2025-12-31,2985,187.6,140,409,88,2.42,3314,8397,2428,0
2026-01-01,3167,187.8,180,405,84,2.65,3414,9485,3073,1
2026-01-02,2818,187.8,176,367,69,2.96,3396,10796,2764,1
2026-01-03,2490,187.6,160,317,74,2.62,2726,7459,2483,0
2026-01-04,2767,187.3,143,386,67,2.98,2889,10148,2672,0
